Name,Image_URL,Description
Curly Kale 'Roter Grünkohl',/media/images/14551.jpg?1654767230,The leaves of curly kale 'Roter Grünkohl' turn deeper purple as the nights become colder. This variety is quite frost-tolerant and is also suitable as a baby leaf. Sow outdoors in May.
Curly Kale 'Westland Winter',/media/images/1450_dbweb.jpg?1549350221,Westlandse Winter' is a curly kale with a dark green leaf. It can also be grown for baby leaves. This kale can be left outdoors in the plot in winter. Frost makes this kale's flavor sweeter.
Broccoli 'Belstar F1',/media/images/1465_dbweb.jpg?1549350221,"Broccoli 'Belstar F1' matures early and is resistant to secondary growth. It is suitable for summer and autumn cultivation and produces compact, high yielding plants. Ready for harvesting after 120-150 days."
Broccoli 'Bobby',/media/images/1461_dbweb7.jpg?1698053055,"Broccoli 'Bobby' is a broccoli variety that can be harvested after approximately 60 to 70 days. Due to its rapid growth, this variety is less susceptible for pests like caterpillars and afhids. One packet of seeds is sufficient for approximately 12 square meters."
Broccoli 'Covina F1',/media/images/1467_dbweb9.jpg?1660224557,"Broccoli 'Covina F1' has a nice, round shape with tight heads with fine to medium fine buds. It is a reliable variety that is suitable for summer and early autumn cultivation and withstands sudden changes in the weather well. Sow from March to May."
Broccoli 'Green Calabrese',/media/images/1460_dbweb.jpg?1549350221,"Broccoli 'Groene Calabrese' is related to the cauliflower. The head, side shoots and florets are all edible. It has narrower leaves than cauliflower."
Kohlrabi 'Delikatess Blue',/media/images/1480_dbweb.jpg?1549350221,Kohlrabi 'Delikatess Blue' tastes delicious both raw and cooked. This variety produces nice blueish purple bulbs with white flesh. Sow from March and then transplant while still young.
Kohlrabi 'Delikatess White',/media/images/1490_dbweb.jpg?1549350221,"Kohlrabi 'Delikatess White' can be eaten both raw as well as cooked. This variety produces light green bulbs with white flesh. It is a fast-growing crop, so plants should be transplanted while still young."
Kohlrabi ‘Kolibri F1’,/media/images/kohlrabi-kolibri-800x8002.jpg?1614699417,"Kohlrabi 'Kolibri F1' is a robust variety with a high yield. It produces globe-shaped, purple-skinned bulbs with white flesh that is almost fibreless."
Kohlrabi ‘Konan F1’,/media/images/kohlrabi_konan-800x80053.jpg?1614699373,Kohlrabi 'Konan F1' has globe-shaped bulbs of a lovely green. This crop has strong leaves and is easy to harvest.
Kohlrabi 'Superschmelz',/media/images/1500_dbweb.jpg?1549350221,The bulbs of kohlrabi 'Superschmelz' can weigh more than 2 kilos. Give 'Superschmelz' a little more space when planting than you would other kohlrabi varieties. Kohlrabi is not very susceptible to bolting and can therefore be sown early.
Kale 'Nero di Toscana',/media/images/1505_dbweb.jpg?1549350221,The typical Tuscan cabbage 'Nero di Toscana' can be grown as kale. Grown in late summer it produces excellent baby leaves. Rotation is very important and this variety needs good fertilisation.
Red cabbage 'Klimaro F1',/media/images/red_cabbage_klimaro-800x8005.jpg?1614699449,"Red cabbage 'Klimaro F1' is ideal for autumn cultivation. This red cabbage is known as a storage cabbage, but it can also be eaten fresh. The red heads have a dense, firm structure."
Red Cabbage 'Langedijker Bewaar 2',/media/images/1510-rode-kool-langedijker-bewaar-2-web1.jpg?1654768353,"Red cabbage 'Langedijker Bewaar 2' needs well-fertilised, moist soil. 'Langedijker Bewaar 2' is a red, round-headed cabbage. Store in a cool, frost-free place when winter arrives."
Romanesco 'Veronica F1',/media/images/1515_dbweb.jpg?1549350221,"Romanesco 'Veronica F1' is a lovely, unusual cauliflower. This uniform crop consists of yellowy-green turreted spears. This cauliflower is suitable for late summer cultivation."
Savoy Cabbage 'Bloemendaalse Gele',/media/images/1530_dbweb.jpg?1549350221,"Bloemendaalse Gele' is a mild-flavored, savoy cabbage. This savoy cabbage is hardy and can grow in the vegetable plot for a long time. It starts green and turns a golden yellow over time."
Savoy cabbage ‘Cantasa F1’,/media/images/savoy_cabbage_cantasa-800x8005.jpg?1614699486,"Savoy cabbage 'Cantasa F1' can be grown in autumn and early winter. This cabbage has finely-blistered leaves, grows well and has has good resistance to all weather conditions."
White Cabbage 'Caraflex F1',/media/images/1535_dbweb.jpg?1549350221,The smooth heads of pointed cabbage 'Caraflex F1' are very uniform and suitable for medium storage. This lovely green pointed cabbage is a member of the headed cabbage family.
Brussels Sprouts 'Groninger',/media/images/1580_dbweb.jpg?1549350221,Sow Brussels sprouts 'Groninger' in April to plant out in May. 'Groninger' is an old landrace of sprouts. Any sprouts that are not firmly closed make a great mash or stew.
Brussels Sprouts ‘Hemera F1’,/media/images/1582-spruitkool-hemera-f17.jpg?1641904000,Brussels sprouts 'Hemera F1' is a winter variety that withstands frost well. The sprouts ripen evenly and can therefore all be picked at once. The largest sprouts are then picked from the base of the plant.
Brussels Sprouts 'Irene F1',/media/images/1581_dbweb.jpg?1549350221,"Brussels sprout 'Irene F1' is a plant with a high bolting tolerance. It is an early, fruitful variety with a mild flavor. The round sprouts store well. Harvest the sprouts from the base of the plant to the top."
White Cabbage 'Filderkraut',/media/images/1550_dbweb.jpg?1549350221,"Filderkraut' is a very mild, slightly sweeter white cabbage. It is a delicious, easy to grow variety that is far less demanding than other varieties of white cabbage."
White cabbage ‘Impala F1’,/media/images/white_cabbage_impala-800x8006.jpg?1614699524,"White cabbage 'Impala F1' is a productive, uniform variety. It is easy to harvest and has good disease protection. This storage cabbage is snowy white inside and has an open green leaf."
White Cabbage 'Langedijker Bewaar',/media/images/1560_dbweb.jpg?1549350221,"White cabbage 'Langedijker Bewaar' is very suitable for storage. It is a medium-sized, round-headed cabbage that needs needs well-fertilised, moist soil."
White Cabbage 'Roem van Enkhuizen 2',/media/images/1540_dbweb.jpg?1549350221,Roem van Enkhuizen 2' is a white cabbage that is rather susceptible to cracking. It is used to make sauerkraut in September. Sow in March for transplanting outdoors in April or May.
Chinese Cabbage 'Emiko F1',/media/images/1471_dbweb.jpg?1549350221,"Chinese cabbage 'Emiko F1' is medium sized and cylindrical. It stores reasonably well. This easy-to-harvest variety is suitable for spring, summer and autumn cultivation."
Chinese Cabbage 'Granaat',/media/images/1470_dbweb.jpg?1549350221,"Chinese cabbage 'Granaat' is best thinly sown, directly in the soil. It can also be grown for baby leaves. It produces large, green heads. This cabbage is not frost tolerant and is very susceptible to bolting."
Turnip 'Goldana',/media/images/1710_dbweb.jpg?1549350221,Turnip 'Goldana' is a fast growing crop. It produces globe-shaped tubers with yellow flesh. The leaves can be eaten as turnip greens.
Turnip 'Milan White Red Top',/media/images/1715_dbweb.jpg?1549350221,"Turnip 'Milan White Red Top' can be sown in spring and autumn. This variety produces a bicolored tuber with a wonderful flavor, especially when eaten raw. The tubers have a diameter of 6-8 cm."
Turnip 'Flat White May',/media/images/1700_dbweb.jpg?1549350221,Turnip 'Platte Witte Mei' grows fast and needs no fertiliser. The flat globe turnip has white flesh. Its leaves can be eaten as turnip greens.
Pak Choi 'Taisai',/media/images/157056.jpg?1654760767,"It is best not to grow pak choi 'Taisai' if there are problems with clubroot in the soil. This variety grows fast and has a tendency to bolt, so do not sow too early in spring. Timely harvest benefits the flavor."
Turnip 'Mizuna',/media/images/1725_dbweb.jpg?1549350221,"Turnip Green 'Mizuna' tastes delicious raw in a salad, or added to a mash. It is a Japanese cabbage with feathered, light green leaves. Turnip greens are a typical spring vegetable."
Turnip 'Namenia',/media/images/1720_dbweb.jpg?1549350221,Turnip green 'Namenia' is a spring vegetable and tastes delicious mashed or in a salad. 'Namenia' can also be grown for baby leaves. It has a short growing period and produces tender leaves.
Tatsoi,/media/images/1572_dbweb4.jpg?1549350221,Tatsoi produces thick dark leaves that are round and crunchy. It can also be prepared like spinach. This variety of the more familiar Pak Choi grows fast and is suitable for baby leaf.
Blocky pepper 'Elsa F1',/media/images/16221.jpg?1670250819,"Bell pepper 'Elsa F1' produces nice sweet fruits. This strong variety was developed specifically for commercial, organic cultivation. The blocky, yellow fruits weigh between 200 and 220 grams."
Blocky pepper 'Ilyn F1',/media/images/16199.jpg?1670251756,"Bell pepper 'Ilyn F1' produces orange fruits that are 7-8 cm long and weigh 180 to 200 grams. The vigorous, robust plants produce fruits with excellent flavor."
Blocky pepper 'Jubilandska',/media/images/1620_dbweb.jpg?1549350221,"Jubilandska' is a low-growing, bell pepper with elongated fruits. The bell peppers are green while young, but mature to red. 'Jubilandska' tastes sweet."
Blocky pepper 'Lilo F1',/media/images/1623_2.jpg?1549350221,"Lilo F1' is a unique bell pepper with fresh, not too sweet fruits. This variety produces deep purple fruits that turn ruby red when they ripen. This variety was developed for commercial, organic cultivation."
Blocky pepper 'Olly F1',/media/images/16216.jpg?1670317255,The sweet fruits of bell pepper 'Olly F1' are red and color remarkably fast. 'Olly F1' is an extremely vigorous variety. The fruits weigh between 180 to 200 grams.
Blocky pepper 'Waldo F1',/media/images/16181.jpg?1670319505,"When harvested at an immature stage, bell pepper 'Waldo F1' bears white fruits. If left to mature, they become pale yellow and get a slightly sweeter flavor."
Pepper rootstock 'Skyborn F1',/media/images/1612_dbweb16.jpg?1616146552,"Skyborn F1' is a medium-strong rootstock for all sweet pepper varieties. High resistance to root-knot nematodes, Verticillium and Pyrenochaeta."
Hot pepper 'Koh Chang',/media/images/1636_2.jpg?1670320114,This lovely yellow pepper scores 6000 on the Scoville scale. The fruits have a spicy flavor and weigh about 25 grams. The fruits can be eaten when green and immature as well as ripe.
Hot pepper 'Koh Tao',/media/images/16371.jpg?1670320223,"Koh Tao' produces fruits that reach 14 cm in length and weigh about 25 grams. The fruits are orange with a good, straight shape. This chili scores 4000 on the Scoville scale."
Hot pepper 'Westlandse Lange Rode',/media/images/1640-12.jpg?1670320418,"The hot, chili pepper 'Westlandse Lange Rode' produces pointed, elongated fruits. The peppers are green while young but mature to red. The small fruits taste hot and spicy."
Snack pepper 'Arwen',/media/images/16245.jpg?1670321533,Arwen' is a snack pepper with fairly short but very robust plants. The tasty red fruits reach a length of 7-8 cm and weigh 30 to 40 grams. 'Arwen' is a highly productive variety.
Snack pepper 'Flynn',/media/images/1626_2.jpg?1549350221,Snack pepper 'Flynn' is a variety of fairly short but robust plants that produce tasty orange fruits of about 7-8cm long. The fruits weigh between 30 and 40 grams.
Snack pepper 'Radja',/media/images/16258.jpg?1670322232,"Snack pepper 'Radja' produces fruits of about 7-8 cm long that weigh between 30 and 40 grams. The robust, relatively short plants bear beautiful and especially tasty, yellow fruits."
Pointed sweet pepper 'Kyra',/media/images/16292.jpg?1670320772,"The plants of sweet pointed pepper 'Kyra' are strong with an open growth habit. The crunchy, orange fruits taste sweet and color fast. This variety is characterised by a long shelf life."
Pointed sweet pepper 'Xaro',/media/images/16275.jpg?1668593436,Sweet pointed pepper 'Xaro' has deep ruby fruits. The fruits taste delicious and have a nice straight shape. The fruits weigh 100 to 120 grams and are 18-22 cm long.
Pointed sweet pepper 'Zazu',/media/images/162854.jpg?1670321083,"Zazu' is a sweet pointed pepper with bright yellow fruits. They have a delicious flavor that stands out when eaten raw. The fruits of this variety reach 18 to 22 cm. 'Zazu' is developed for commercial, organic cultivation."
Endive 'Batavian Broad Leaved',/media/images/1010_dbweb.jpg?1549350221,Endive 'Batavian Broad Leaved' has a tightly packed head and a very mild flavor. This endive is ideal for mashes or to stew.
Endive 'Wallonne' (Frisée),/media/images/1020_dbweb.jpg?1549350221,"Wallone' is a curly-leaved endive with finely incised, heavily curled leaves. This endive is ideal as a baby leaf in salads, in stews or raw."
Chicory 'Zuckerhut',/media/images/1360_dbweb.jpg?1549350221,Chicory 'Zuckerhut' grows on any lightly fertilised soil. This variety tolerates a mild frost and is therefore an ideal vegetable for autumn or early winter. Preferably sown outdoors between June and mid-July.
Radicchio Rosso 'Leonardo F1',/media/images/1728_dbweb.jpg?1549350221,"Radicchio Rosso 'Leonardo F1' has firm, round heads with red and white leaves. This variety, originally from Italy, is suitable for late summer and autumn cultivation."
Chicory 'Hollandse Middelvroeg',/media/images/2050_2.jpg?1549350221,"Grow chicory 'Hollandse Middelvroeg' at a shallow depth in soil that is low in nitrogen to slow growth. This chicory variety is ideal for traditional cultivation, i.e. cover with soil to force."
Watermelon 'Sugar Baby',/media/images/2027_dbweb.jpg?1549350221,Watermelon 'Sugar Baby' is best grown in a greenhouse or a cold frame. Make sure the plants can be visited by insects for pollination. The watermelons weigh about 1.8 kg.
Winter Purslane,/media/images/2030_dbweb2.jpg?1715774106,"Winter purslane is used in salads, mashed or eaten raw. Dry frost can discolor the leaves. This is a hardy variety and has few problems with pests and diseases."
Gherkin ‘Adam F1’,/media/images/gherkins_adam-800x8003.jpg?1614699737,Gherkin 'Adam F1' is suitable for greenhouse cultivation as the plants do not need pollinating. Its firm and crunchy texture makes it ideal for pickling.
Gherkin 'Hokus',/media/images/1030_dbweb.jpg?1549350221,The green gherkin variety 'Hokus' can be grown outdoors on well-fertilised soil in a sheltered spot. This gherkin is very frost-sensitive. Plant from mid-May.
Cucumber 'Gele Tros',/media/images/1430_dbweb.jpg?1549350221,"To benefit from the best flavor, harvest cucumber 'Gele Tros' while still young. Cucumber 'Gele Tros' has creamy fruits. It is a strong variety suitable for open soil cultivation."
Cucumber 'Marketmore',/media/images/1435_dbweb.jpg?1549350221,'Marketmore' is a cucumber with tasty fruits. It is a prickly variety. The fruits develop from the side shoots and grow to be about 20 cm long and 5 cm thick. Sow under glass at the end of April.
Cucumber 'Telegraph Improved',/media/images/1437_dbweb.jpg?1549350221,"The fruits of cucumber 'Telegraph Improved' develop from the side shoots. The plant needs support to produce good, straight fruits. 'Telegraph Improved' is an old English variety."
Snack Cucumber 'Kaikura F1',/media/images/1438_dbweb_23.jpg?1660226591,"Snack cucumber 'Kaikura F1' is crunchy, tasty and perfect for snacking at work or school due to its fruit size. The variety is particularly suitable for outdoor cultivation and can be grown throughout the season. Harvest from June to September."
Winter Squash 'Amoro F1',/media/images/amoro-2200x2200.jpg?1549350221,Winter squash 'Amoro F1' produces heart-shaped fruits. The flesh has a mild flavor and is ideal for soups. The plant produces fruits that are easy to de-seed and cut.
Winter Squash 'Fictor',/media/images/1655_dbweb.jpg?1549350221,"The trailing, orange winter squash 'Fictor' is highly appreciated for its fruit size and long shelf life. 'Fictor' is extremely vigorous and produces a high yield."
Winter Squash 'Amoro F1',/media/images/amoro-2200x2200.jpg?1549350221,Winter squash 'Amoro F1' produces heart-shaped fruits. The flesh has a mild flavor and is ideal for soups. The plant produces fruits that are easy to de-seed and cut.
Delicata Squash 'Sweet Dumpling',/media/images/1687_dbweb.jpg?1549350221,"Delicata squash 'Sweet Dumpling' has a delicious, sweet taste. The fruit is small and white with dark green stripes and deep ribs. Each fruit weighs about 300 grams."
Halloween Pumpkin 'Jack O’Lantern',/media/images/1645_dbweb.jpg?1549350221,Jack O’Lantern' is the type of squash typically used for Halloween decorations. The fruits only start to change color from green to orange as they ripen. The fruits weigh about 3 kg.
Halloween Pumpkin 'Owls Eye F1',/media/images/1646_woodenbg.jpg?1549350221,Halloween pumpkin 'Owls Eye F1' is an ornamental winter squash with a flat base. This keeps this squash nicely upright. Each plant produces an average of 1-2 fruits that weigh 4-7 kg.
Winter Squash 'Amoro F1',/media/images/amoro-2200x2200.jpg?1549350221,Winter squash 'Amoro F1' produces heart-shaped fruits. The flesh has a mild flavor and is ideal for soups. The plant produces fruits that are easy to de-seed and cut.
Winter Squash 'Fictor',/media/images/1655_dbweb.jpg?1549350221,"The trailing, orange winter squash 'Fictor' is highly appreciated for its fruit size and long shelf life. 'Fictor' is extremely vigorous and produces a high yield."
Winter Squash 'Solor',/media/images/1665_dbweb.jpg?1549350221,'Solor' is an early-flowering winter squash that weighs about 1.1 kg. This orange squash flowers on average 7-10 days earlier than variety 'Uchiki Kuri'.
Winter Squash 'Uchiki Kuri',/media/images/1669_dbweb.jpg?1549350221,"Winter squash 'Uchiki Kuri' has delicious flesh. The fruits weigh 0.8 to 2.0 kg and are rich in minerals and vitamins. This variety likes firm, moist soil."
Winter Squash 'Tractor F1',/media/images/1644_dbweb.jpg?1549350221,"Winter squash 'Tractor F1' produces fruits with plenty of flesh that is easy to cut and de-seed. It is a highly productive variety that yields large, spherical, orange fruits."
Winter Squash 'Groene Hokkaido',/media/images/1660_dbweb.jpg?1549350221,Winter squash 'Groene Hokkaido' produces fruits of 1-1.5 kg. The fruits are green and the yellow-orange flesh tastes delicious in soups or other dishes.
Winter Squash 'Zappalito',/media/images/1680_dbweb.jpg?1549350221,Winter squash 'Zappalito' should be harvested and eaten while young and unripe. The green fruits of this variety are about 10-12 cm in diameter.
Muscat Squash 'Muscat de Provence',/media/images/1675_2.jpg?1549350221,"Muscat de Provence' squash can be used in soups and pies. This plant produces round, deeply ribbed fruits. The fruits start green, but turn an orange-cream color when ripe."
Squash 'Butternut',/media/images/1685_dbweb.jpg?1549350221,"Butternut squash 'Butternut' produces cream-colored, mildly flavored fruits. The flesh can be used in a variety of dishes. This traditional, trailing variety has reasonably long storage life."
Delicata Squash 'Sweet Dumpling',/media/images/1687_dbweb.jpg?1549350221,"Delicata squash 'Sweet Dumpling' has a delicious, sweet taste. The fruit is small and white with dark green stripes and deep ribs. Each fruit weighs about 300 grams."
Halloween Pumpkin 'Jack O’Lantern',/media/images/1645_dbweb.jpg?1549350221,Jack O’Lantern' is the type of squash typically used for Halloween decorations. The fruits only start to change color from green to orange as they ripen. The fruits weigh about 3 kg.
Halloween Pumpkin 'Owls Eye F1',/media/images/1646_woodenbg.jpg?1549350221,Halloween pumpkin 'Owls Eye F1' is an ornamental winter squash with a flat base. This keeps this squash nicely upright. Each plant produces an average of 1-2 fruits that weigh 4-7 kg.
Courgette (climbing) 'Ola Escaladora',/media/images/1356-hoofdfoto_overzicht.jpg?1549350221,Climbing zucchini 'Ola Escaladora' produces dark green fruits that taste good all summer long. Suitable to grow on a trellis or trained along a garden wall. The plant loves sun.
Cardoon,/media/images/1380_dbweb.jpg?1549350221,The artichoke-like flowers of cardoon are an attractive addition to the vegetable plot. The plant can grow up to 1.5 meters. Bleaching the leaf stalks during cultivation reduces the bitterness so they are edible.
Carrot 'Napoli F1',/media/images/2058_dbweb.jpg?1549350221,'Napoli F1' is a summer carrot with a good color. This productive variety's robust foliage is very suitable for early cultivation. Sow this 'Nantes'-type carrot outdoors between March and June.
Carrot 'Negovia F1',/media/images/2059-web53.jpg?1654859178,Summer carrot 'Negovia F1' is crunchy with a lovely flavor. Sow from April to June for harvest from September to December. These seeds are treated with a certified coating.
Carrot 'Yellowstone',/media/images/2061_dbweb.jpg?1549350221,Summer carrot 'Yellowstone' was developed for commercial cultivation. It is a versatile variety suitable for late season growing and as winter carrots. The carrots are yellow.
Carrot 'Autumn King 2',/media/images/2070_dbweb.jpg?1549350221,"Autumn King 2' is a carrot that stores well post-harvest. This variety forms a large crop with big, sweet carrots. Can only be sown from April through May."
Carrot 'Amsterdam 2',/media/images/2055_dbweb.jpg?1549350221,"Amsterdam 2' is a beautiful, slender summer carrot. Sow this marvellous tasting carrot on raised ridges. Loosen the soil well so it can produce long, straight carrots."
Carrot 'Nantes 2',/media/images/2060-web2.jpg?1654859735,"Nantes 2' carrots produce cylindrical carrots. The wider apart, the larger the carrots will grow. This variety produces nice cylindrical carrots that taste sweet. Sow in the soil, preferably in ridges."
Wild Rocket 'Rochelle',/media/images/1766_dbweb-26.jpg?1724849961,"Wild rocket 'Rochelle' is a well-loved vegetable because of its characteristic, spicy taste. This wild rocket variety has thick, dark-green leaves and is suitable for both glasshouse as well as outdoor cultivation. The variety rarely bolts and is well-resistant to downy mildew. One packet contains 1 gram of seeds and is sufficient for approximately 5 square meters."
