Names,Description,Image_URL1,Image_URL2,Image_URL3
Medium Red CloverOrganic Cover Crop Seed,"Fast to establish, tolerates most soil types, and is suitable for hay or silage. Often used as a cover crop between rows of vegetable crops if mowed to maintain manageability. Can fix up to 150 lb. of nitrogen per acre. Sow 5–15 lb. per acre. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1f76a1a7/images/products/farmseed/03192g_01_med_redclover.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1f76a1a7/images/products/farmseed/03192g_01_med_redclover.jpg?sw=140&sh=140,
Mammoth Red CloverOrganic Cover Crop Seed,"A tall (2–3'), quick-growing clover. Sow in spring, summer or fall, alone or with grain/grass at 1/2 lb./1,000 sq.ft. (15–20 lb./acre). Will grow in more acid soil (pH 5.0-6.0) than other clovers if lime is applied at seeding time. Widely grown biennial used for Nitrogen addition and hay crops. Large plant with big leaves makes it an ideal grazing crop. Red clover may be the best choice for frost seeding; it is extremely cold hardy and does well in most soils and growing conditions. it does, like most clovers, perform poorly in hot weather unless seeded into a crop canopy. Incorporate fully for best results. Mammoth Red clover will fix between 70-110 lbs. nitrogen per acre. The long taproots loosen soils and mine phosphorus and other nutrients from deep in the soil. It should be seeded with 48-64 lbs. or 1.5-2 bushels/acre of oats to ""nurse"" the clover. Inoculate with Alfalfa/True Clover Inoculant (#7535) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwed25ec74/images/products/farmseed/00980g_01_mammoth_red.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwed25ec74/images/products/farmseed/00980g_01_mammoth_red.jpg?sw=140&sh=140,
Fall Green Manure MixCover Crop Seed,"This ready-made mix is comprised of winter rye, field peas, ryegrass, crimson clover, and hairy vetch. Vigorous late-summer growth provides winter erosion control. The peas, clover, and ryegrass will winter kill to provide organic matter and soil cover. The hairy vetch and winter rye will regrow in the spring to provide nutrients for crops to utilize. Because the seeds of this mix vary in weight and size, it is best seeded with a grain drill. Sow at 50 lb./acre or 1 1/2 lb./1,000 sq.ft. Inoculate with Garden Combination Inoculant (#7531) or Pea, Vetch, and Lentil Inoculant (#7534) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwd83d4fe0/images/products/farmseed/02613_01_fall_green_manure.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw9d6c6aa1/images/products/farmseed/02613_02_fallgreenmanure.jpg?sw=800&cx=386&cy=194&cw=1000&ch=1000,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwd83d4fe0/images/products/farmseed/02613_01_fall_green_manure.jpg?sw=140&cx=302&cy=0&cw=1196&ch=1196
Peas and Oats MixOrganic Cover Crop Seed,"Mixed to meet our farm manager's preferred percentages of 70% peas and 30% oats. Sow in early spring for a spring/summer cover crop. For a winter cover, sow in late summer or early fall. Sow at 5 lb./1,000 sq.ft., or about 120-200 lb./acre. Peas provide nitrogen and organic matter; oats act as a nurse crop and trellis for the peas. Both will winterkill in northern areas if oats are not allowed to re-seed. Specialized equipment, which is often needed for terminating (mowing and incorporating) perennial cover crops, is not necessary. An easy choice for home gardeners. Inoculate with Garden Combination Inoculant (#7531) or Pea, Vetch, and Lentil Inoculant (#7534) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw72224319/images/products/farmseed/003685g_01_peasoats_mix.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw72224319/images/products/farmseed/003685g_01_peasoats_mix.jpg?sw=140&sh=140,
Oats (Common)Organic Cover Crop Seed,"Early maturing and good standing with very high yields. A good choice for underseeding with a legume. Oats are a quick-growing green manure. For winter cover, sow by early Sept. in the North, slightly later farther south; the heavy stubble will prevent erosion and oats will not regrow in the spring like winter rye. For grain production, sow seeds in early spring for a late-summer harvest. Sow at 3-4 lb./1,000 sq.ft., or about 150 lb./acre. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw62aa0aed/images/products/farmseed/02509g_01_commonoats.jpg?sw=800&cx=366&cy=44&cw=1104&ch=1104,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw62aa0aed/images/products/farmseed/02509g_01_commonoats.jpg?sw=140&cx=366&cy=44&cw=1104&ch=1104,
Winter Rye (Common)Organic Cover Crop Seed,"If rye grain or straw is desired, sow in fall for midsummer harvest. For green manure, sow anytime spring through midfall at 4-6 lb./1,000 sq.ft. (60-120 lb./acre). USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1d8dd317/images/products/farmseed/00968g_01_winter_rye.jpg?sw=800&cx=320&cy=20&cw=1135&ch=1135,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1d8dd317/images/products/farmseed/00968g_01_winter_rye.jpg?sw=140&cx=320&cy=20&cw=1135&ch=1135,
BuckwheatCover Crop Seed,"Sow in late May through July and till in about a month later, when flowering has begun. For grain harvest, sow 3 months before fall frost. Harvest after killing frost. Also available in organic seed.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw9e890612/images/products/farmseed/00966_01_buckwheat.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwf7f4c072/images/products/farmseed/00966_02_buckwheat.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw9e890612/images/products/farmseed/00966_01_buckwheat.jpg?sw=140&sh=140
Hairy VetchOrganic Cover Crop Seed,"Sow spring to late summer with or without grain, grass, or field peas. When sown in late summer, spring regrowth is vigorous and nitrogen producing for tilling in before planting the spring garden crops. Typical nitrogen produced is 110 lbs./acre. This rapid spring growth also makes it a good weed suppressant. Hairy vetch prefers well-drained soils with a pH of 6.0-7.0, and will do poorly in clay or wet fields. It will do well in soils too acidic for many clovers and alfalfas. May have some allelopathic properties, so it is best to allow 2-3 weeks between incorporating and seeding of small-seeded crops. This selected hardy strain is widely adapted and withstands all but severe winters if sown in late summer or fall. Sow at 1 lb./1,000 sq.ft. (40 lb./acre) with rye or oats. Inoculate with Garden Combination Inoculant (#7531) or Pea, Vetch, and Lentil Inoculant (#7534) for best performance. Blue label/Certified seed. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwc20f60d0/images/products/farmseed/0987g_01_hairyvetch.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwc20f60d0/images/products/farmseed/0987g_01_hairyvetch.jpg?sw=140&sh=140,
Field Peas (Maxum)Cover Crop Seed,"Pea tendrils (the most recent 6–8"" of growth) are also great in salad mixes, and the dry yellow peas can be cooked in soup. In spring or fall, sow alone at 3 lb./1,000 sq.ft. (120 lb./acre). Can also be mixed with vetch and/or oats, winter rye, or ryegrass. Peas smother weeds better than spring-sown clover. Inoculate with Garden Combination Inoculant (#7531) or Pea, Vetch, and Lentil Inoculant (#7534) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw372c9201/images/products/farmseed/02340_01_maxumfieldpea.jpg?sw=800&cx=430&cy=100&cw=1000&ch=1000,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwee12cc7f/images/products/farmseed/02340_02_maxumfieldpea.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw372c9201/images/products/farmseed/02340_01_maxumfieldpea.jpg?sw=140&cx=430&cy=100&cw=1000&ch=1000
Crimson CloverCover Crop Seed,"Grows to 1–3' and sports striking crimson blossoms in abundance. Where winter lows fall above -10°F (-23.3°C), it is sown in late summer, lies dormant in winter, resumes growth in spring, and flowers in May. Crimson clover fixes up to 200 pounds of nitrogen per acre, and prefers well-drained, loam soils with good organic matter content for best results. It is an excellent choice for underseeding as it grows well in the shade of other crops. Easier to incorporate in the spring than Hairy Vetch. Do not use for frost seeding as it won't handle the cold nearly as well as red clover. Crimson clover will not re-grow after close grazing or mowing once flowering has begun. Crimson clover does best in cool, humid weather and will perform poorly in the heat of summer. Sow 20-25 lb./acre alone or with grain/grass. May be pre-inoculated with OMRI Listed® EXCEED and coated with OMRI Listed® Nitro-Coat® Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw39fede6e/images/products/farmseed/00982_01_crimson_clover.jpg?sw=800&cx=324&cy=22&cw=1174&ch=1174,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1a87f11f/images/products/farmseed/00982_02_crimsonclover.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw39fede6e/images/products/farmseed/00982_01_crimson_clover.jpg?sw=140&cx=324&cy=22&cw=1174&ch=1174
New Zealand White CloverCover Crop Seed,"Once established, white clover can handle foot and tractor traffic better than other clovers. The fibrous root system typically is in the top 8"" of soil, although it does have up to a 40"" tap root in the first year which dies each fall, leaving a passage for water to percolate through. More heat tolerant than some of the larger clovers, this is a low-growing (to 12"") perennial that can be sown into long-season row crops during the season to provide a ""living mulch."" Sow after first cultivation at 1/4 lb. per 1,000 sq.ft. (10 lb./acre) and rake or cultivate to cover. Also used for green manure, hay, and pasture. Inoculate with Alfalfa/True Clover Inoculant (#7535) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwb38d3179/images/products/farmseed/00979_01_newzealandwhiteclover.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw210efd2e/images/products/farmseed/00979_02_newzealandwhiteclover.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwb38d3179/images/products/farmseed/00979_01_newzealandwhiteclover.jpg?sw=140&sh=140
Buckwheat (Common)Organic Cover Crop Seed,"Buckwheat is widely grown as a grain crop, bee pasture, soil improving cover crop and as wildlife cover. It is a warm season grain which grows rapidly during the summer and several crops per year may be had with proper management. This rapid and dense growth chokes out weeds and is used in crop-free fields in rotation with vegetables. Buckwheat is often grown to attract beneficial insects and as pasture for honey bees. Sow in late May through July and till in about a month later, when flowering has begun. For grain harvest, sow 3 months before fall frost. Harvest after killing frost. Planting rate: 2-3 lb./1,000 sq.ft. (60 lb./acre), one-fifth less when planting for grain harvest. Blue label/Certified seed. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw515cb470/images/products/farmseed/00966g_01_buckwheat.jpg?sw=800&cx=311&cy=16&cw=1154&ch=1154,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwaeae2e6e/images/products/farmseed/00966g_02_buckwheat.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw515cb470/images/products/farmseed/00966g_01_buckwheat.jpg?sw=140&cx=311&cy=16&cw=1154&ch=1154
Yellow MustardCover Crop Seed,"Mustard residues which contain glucosinolates are known to suppress soil-borne fungi and nematodes. For use as a soil biofumigant, mow mustard crop at flowering stage, but before mature seed set, and incorporate into the soil immediately. Performs best as a fall planted crop. Thrives in cool conditions. Sow at 15-20 lb./acre.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw0b918af1/images/products/farmseed/03522_01_mustard.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw0b918af1/images/products/farmseed/03522_01_mustard.jpg?sw=140&sh=140,
Crimson CloverOrganic Cover Crop Seed,"Grows to 1-3' and sports striking crimson blossoms in abundance. Where winter lows fall above -10°F (-23.3°C), it is sown in late summer, lies dormant in winter, resumes growth in spring, and flowers in May. Crimson clover fixes up to 200 pounds of nitrogen per acre, and prefers well-drained, loam soils with good organic matter content for best results. It is an excellent choice for underseeding as it grows well in the shade of other crops. Easier to incorporate in the spring than Hairy Vetch. Do not use for frost seeding as it won't handle the cold nearly as well as red clover. Crimson clover will not re-grow after close grazing or mowing once flowering has begun. Crimson clover does best in cool, humid weather and will perform poorly in the heat of summer. Sow 20-25 lb./acre alone or with grain/grass. Inoculate with Inoculate with Alfalfa/True Clover Inoculant (#7535) for best performance. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw2a65554b/images/products/farmseed/00982g_01_crimson_clover.jpg?sw=800&cx=347&cy=45&cw=1150&ch=1150,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw509787f8/images/products/farmseed/00982g_02_crimsonclover.opy.jpg?sw=800&cx=302&cy=0&cw=1196&ch=1196,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw2a65554b/images/products/farmseed/00982g_01_crimson_clover.jpg?sw=140&cx=347&cy=45&cw=1150&ch=1150
Medium Red CloverOrganic Cover Crop Seed,"Fast to establish, tolerates most soil types, and is suitable for hay or silage. Often used as a cover crop between rows of vegetable crops if mowed to maintain manageability. Can fix up to 150 lb. of nitrogen per acre. Sow 5–15 lb. per acre. USDA Certified Organic.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1f76a1a7/images/products/farmseed/03192g_01_med_redclover.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dw1f76a1a7/images/products/farmseed/03192g_01_med_redclover.jpg?sw=140&sh=140,
Mammoth Red CloverOrganic Cover Crop Seed,"A tall (2–3'), quick-growing clover. Sow in spring, summer or fall, alone or with grain/grass at 1/2 lb./1,000 sq.ft. (15–20 lb./acre). Will grow in more acid soil (pH 5.0-6.0) than other clovers if lime is applied at seeding time. Widely grown biennial used for Nitrogen addition and hay crops. Large plant with big leaves makes it an ideal grazing crop. Red clover may be the best choice for frost seeding; it is extremely cold hardy and does well in most soils and growing conditions. it does, like most clovers, perform poorly in hot weather unless seeded into a crop canopy. Incorporate fully for best results. Mammoth Red clover will fix between 70-110 lbs. nitrogen per acre. The long taproots loosen soils and mine phosphorus and other nutrients from deep in the soil. It should be seeded with 48-64 lbs. or 1.5-2 bushels/acre of oats to ""nurse"" the clover. Inoculate with Alfalfa/True Clover Inoculant (#7535) for best performance.",https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwed25ec74/images/products/farmseed/00980g_01_mammoth_red.jpg?sw=800&sh=800,https://www.johnnyseeds.com/dw/image/v2/BJGJ_PRD/on/demandware.static/-/Sites-jss-master/default/dwed25ec74/images/products/farmseed/00980g_01_mammoth_red.jpg?sw=140&sh=140,
